src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.192,192.168.1.172,47946,80,6,2025-06-22 12:43:09,0.053127,63997.590678939145,169.4053870913095,94.11410393961638,75.29128315169311,5,4,626,2774,390,54,125.2,132.62639254688338,2588,60,693.5,1093.7928277329304,2588,54,377.77777777777777,788.1891732569701,621242.1728395061,100,80,20,1,0.006640875,0.020108,8e-06,0.006805292874621562,0.040021,0.027819,0.000915,0.01000525,0.010751502694391143,0.044001,0.020108,0.008568,0.014667,0.00473410484322714,1,1,0,0,2,2,0,2,8,0,0,0.8,377.77777777777777,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.2,693.5,0,5,4,626,2774
192.168.1.192,192.168.1.172,47954,80,6,2025-06-22 12:43:09,0.052752,64206.09645131938,170.60964513193812,94.78313618441007,75.82650894752805,5,4,613,2774,377,54,122.6,127.43563081022512,2588,60,693.5,1093.7928277329304,2588,54,376.3333333333333,788.1773630062941,621223.5555555555,100,80,20,1,0.006594,0.016983,2.1e-05,0.006566917579808659,0.038700000000000005,0.026948,0.000238,0.009675000000000001,0.010727802617498143,0.042421,0.016983,0.0102,0.014140333333333333,0.0028758681394590326,1,1,0,0,2,2,0,2,8,0,0,0.8,376.3333333333333,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.6,693.5,0,5,4,613,2774
192.168.1.192,192.168.1.172,47964,80,6,2025-06-22 12:43:09,0.051727,65787.69308098285,173.99037253271985,96.66131807373326,77.3290544589866,5,4,629,2774,393,54,125.8,133.82436250548702,2588,60,693.5,1093.7928277329304,2588,54,378.1111111111111,788.1949060204229,621251.2098765433,100,80,20,1,0.006465874999999999,0.018762,2.8e-05,0.006624868025808138,0.039617,0.028715,0.000233,0.00990425,0.01141681920183989,0.042421,0.018762,0.010201,0.014140333333333333,0.003528159513904602,1,1,0,0,2,2,0,2,8,0,0,0.8,378.1111111111111,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.8,693.5,0,5,4,629,2774
192.168.1.192,192.168.1.172,47974,80,6,2025-06-22 12:43:09,0.050893,66413.84866288095,176.8416088656593,98.24533825869962,78.59627060695969,5,4,606,2774,370,54,121.2,124.6409242584473,2588,60,693.5,1093.7928277329304,2588,54,375.55555555555554,788.1797751938902,621227.3580246913,100,80,20,1,0.006361625,0.018763,3.7e-05,0.006556788217898684,0.038335,0.027994,0.000862,0.00958375,0.011076797334405825,0.042421,0.018763,0.010201,0.014140333333333333,0.003528660683917089,1,1,0,0,2,2,0,2,8,0,0,0.8,375.55555555555554,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.2,693.5,0,5,4,606,2774
192.168.1.192,192.168.1.172,47984,80,6,2025-06-22 12:43:09,0.056146,60378.29943361949,160.29637017775087,89.05353898763937,71.24283119011149,5,4,616,2774,380,54,123.2,128.63343266818313,2588,60,693.5,1093.7928277329304,2588,54,376.6666666666667,788.178208839149,621224.8888888891,100,80,20,1,0.00701825,0.026864,4.3e-05,0.008683961592355184,0.04520300000000001,0.036699,0.000323,0.011300750000000002,0.014977867177522306,0.048414,0.026864,0.010201,0.016138,0.0075988939107390265,1,1,0,0,2,2,0,2,8,0,0,0.8,376.6666666666667,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.2,693.5,0,5,4,616,2774
192.168.1.192,192.168.1.172,48000,80,6,2025-06-22 12:43:09,0.055751,60662.58901185629,161.43208193575003,89.68448996430557,71.74759197144445,5,4,608,2774,372,54,121.6,125.43938775360792,2588,60,693.5,1093.7928277329304,2588,54,375.77777777777777,788.1784594561166,621225.2839506172,100,80,20,1,0.006968874999999999,0.026895,3.9e-05,0.008668647204689725,0.045004999999999996,0.036766,0.000269,0.011251249999999999,0.015008678062624304,0.048414,0.026895,0.010201,0.016138,0.007620004768152488,1,1,0,0,2,2,0,2,8,0,0,0.8,375.77777777777777,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.6,693.5,0,5,4,608,2774
192.168.1.192,192.168.1.172,48008,80,6,2025-06-22 12:43:09,0.06295,72644.95631453535,174.74185861795073,95.31374106433677,79.42811755361397,6,5,671,3902,369,54,111.83333333333333,115.25394666657719,2588,60,780.4,993.6360701987422,2588,54,415.72727272727275,752.8916487189533,566845.8347107437,120,100,20,1,0.006294999999999999,0.032056,6e-06,0.009257954385284041,0.055220000000000005,0.041875,0.000302,0.011044000000000002,0.015596841282772613,0.056251,0.032056,0.006259,0.01406275,0.01048336972006139,1,2,0,0,3,2,0,3,10,0,0,0.8333333333333334,415.72727272727275,64240,3784,0,0,0,0,0,0,0,0,0,0,3620.0,4.0,0,78608.49927254565590323771471,111.83333333333333,780.4,0,6,5,671,3902
192.168.1.192,192.168.1.172,48010,80,6,2025-06-22 12:43:09,0.062652,73277.78841856605,175.5730064483177,95.7670944263551,79.80591202196258,6,5,689,3902,387,54,114.83333333333333,121.94864584005113,2588,60,780.4,993.6360701987422,2588,54,417.3636363636364,752.8078678855669,566719.6859504132,120,100,20,1,0.0062652,0.031964,7e-06,0.009201369406778537,0.05489,0.041201,0.000866,0.010978,0.015279730141596089,0.056094000000000005,0.031964,0.006122,0.014023500000000001,0.010460958142063279,1,2,0,0,3,2,0,3,10,0,0,0.8333333333333334,417.3636363636364,64240,3784,0,0,0,0,0,0,0,0,0,0,3620.0,4.0,0,78941.05589113984778768781211,114.83333333333333,780.4,0,6,5,689,3902
192.168.1.192,192.168.1.172,48014,80,6,2025-06-22 12:43:09,0.061861,54913.43495902103,145.48746383019997,80.82636879455553,64.66109503564444,5,4,623,2774,387,54,124.6,131.42845962728163,2588,60,693.5,1093.7928277329304,2588,54,377.44444444444446,788.1845682200629,621234.913580247,100,80,20,1,0.007732625,0.028646,1.7e-05,0.00926298809695743,0.049363,0.039496,0.000246,0.01234075,0.015987585205011423,0.053555000000000005,0.028646,0.011141,0.01785166666666667,0.007707723673187969,1,1,0,0,2,2,0,2,8,0,0,0.8,377.44444444444446,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.6,693.5,0,5,4,623,2774
192.168.1.192,192.168.1.172,48022,80,6,2025-06-22 12:43:09,0.0614,55325.7328990228,146.57980456026058,81.43322475570032,65.14657980456026,5,4,623,2774,387,54,124.6,131.42845962728163,2588,60,693.5,1093.7928277329304,2588,54,377.44444444444446,788.1845682200629,621234.913580247,100,80,20,1,0.0076749999999999995,0.028646,5.4e-05,0.009202473010012039,0.048567,0.038701,0.000881,0.01214175,0.015596068917759371,0.053555000000000005,0.028646,0.011141,0.01785166666666667,0.007707723673187969,1,1,0,0,2,2,0,2,8,0,0,0.8,377.44444444444446,64240,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.6,693.5,0,5,4,623,2774
